Sequence,Domain,Family,Species
[Bacteroides] pectinophilus ATCC 43243 Bacteroides pectinophilus ATCC 43243 draft (37 frags),Bacteria_noFamily,unclassified Clostridiales_unknownfamily,[Bacteroides] pectinophilus
Clostridium leptum DSM 753 draft (22 frags),BacteriaFamilies,Ruminococcaceae,[Clostridium] leptum
Clostridium leptum DSM 753 draft (22 frags),BacteriaFamilies,Ruminococcaceae,[Clostridium] leptum
Clostridium symbiosum WAL-14163 draft (142 frags),BacteriaFamilies,Lachnospiraceae,[Clostridium] symbiosum
Clostridium symbiosum WAL-14163 draft (142 frags),BacteriaFamilies,Lachnospiraceae,[Clostridium] symbiosum
Eubacterium siraeum DSM 15702 draft (51 frags),BacteriaFamilies,Ruminococcaceae,[Eubacterium] siraeum
Ruminococcaceae bacterium CC59_002D Ruminococcus lactaris CC59_002D draft (41 frags),BacteriaFamilies,Ruminococcaceae,[Ruminococcus] lactaris
Ruminococcus torques ATCC 27756 draft (64 frags),BacteriaFamilies,Lachnospiraceae,[Ruminococcus] torques
Ruminococcus torques L2-14 draft genome,BacteriaFamilies,Lachnospiraceae,[Ruminococcus] torques
Ruminococcus torques ATCC 27756 draft (64 frags),BacteriaFamilies,Lachnospiraceae,[Ruminococcus] torques
Actinobacillus capsulatus DSM 19761 draft (49 frags),BacteriaFamilies,Pasteurellaceae,Actinobacillus capsulatus
Actinobacillus minor 202 draft (154 frags),BacteriaFamilies,Pasteurellaceae,Actinobacillus minor
Actinobacillus minor 202 draft (154 frags),BacteriaFamilies,Pasteurellaceae,Actinobacillus minor
Actinobacillus pleuropneumoniae serovar 1 str. 4074 draft (44 frags),BacteriaFamilies,Pasteurellaceae,Actinobacillus pleuropneumoniae
Actinobacillus pleuropneumoniae serovar 11 str. 56153 draft (47 frags),BacteriaFamilies,Pasteurellaceae,Actinobacillus pleuropneumoniae
Actinobacillus pleuropneumoniae serovar 11 str. 56153 draft (47 frags),BacteriaFamilies,Pasteurellaceae,Actinobacillus pleuropneumoniae
Actinobacillus pleuropneumoniae serovar 1 str. 4074 draft (44 frags),BacteriaFamilies,Pasteurellaceae,Actinobacillus pleuropneumoniae
Actinobacillus succinogenes 130Z chromosome,BacteriaFamilies,Pasteurellaceae,Actinobacillus succinogenes
Actinobacillus suis ATCC 33415,BacteriaFamilies,Pasteurellaceae,Actinobacillus suis
Actinomyces dentalis DSM 19115 draft (97 frags),BacteriaFamilies,Actinomycetaceae,Actinomyces dentalis
Actinomyces johnsonii F0510 draft (431 frags),BacteriaFamilies,Actinomycetaceae,Actinomyces johnsonii
Actinomyces oris K20 draft (771 frags),BacteriaFamilies,Actinomycetaceae,Actinomyces oris
Actinomyces oris K20 draft (771 frags),BacteriaFamilies,Actinomycetaceae,Actinomyces oris
Atopobium sp. ICM58 draft (239 frags),BacteriaFamilies,Coriobacteriaceae,Actinomyces sp. ICM58
Atopobium sp. ICM58 draft (239 frags),BacteriaFamilies,Coriobacteriaceae,Actinomyces sp. ICM58
Actinomyces sp. oral taxon 170 str. F0386 draft (99 frags),BacteriaFamilies,Actinomycetaceae,Actinomyces sp. oral taxon 170
Actinomyces sp. oral taxon 170 str. F0386 draft (99 frags),BacteriaFamilies,Actinomycetaceae,Actinomyces sp. oral taxon 170
Actinomyces sp. oral taxon 171 str. F0337 draft (580 frags),BacteriaFamilies,Actinomycetaceae,Actinomyces sp. oral taxon 171
Actinomyces sp. oral taxon 171 str. F0337 draft (580 frags),BacteriaFamilies,Actinomycetaceae,Actinomyces sp. oral taxon 171
Actinomyces sp. oral taxon 181 str. F0379 draft (32 frags),BacteriaFamilies,Actinomycetaceae,Actinomyces sp. oral taxon 181
Actinomyces sp. oral taxon 448 str. F0400 draft (69 frags),BacteriaFamilies,Actinomycetaceae,Actinomyces sp. oral taxon 448
Actinomyces sp. oral taxon 448 str. F0400 draft (69 frags),BacteriaFamilies,Actinomycetaceae,Actinomyces sp. oral taxon 448
Aggregatibacter actinomycetemcomitans D11S-1 chromosome,BacteriaFamilies,Pasteurellaceae,Aggregatibacter actinomycetemcomitans
Aggregatibacter actinomycetemcomitans DSM 8324 draft (33 frags),BacteriaFamilies,Pasteurellaceae,Aggregatibacter actinomycetemcomitans
Aggregatibacter actinomycetemcomitans serotype c str. AAS4A draft (61 frags),BacteriaFamilies,Pasteurellaceae,Aggregatibacter actinomycetemcomitans
Alistipes onderdonkii DSM 19147 draft (32 frags),BacteriaFamilies,Rikenellaceae,Alistipes onderdonkii
Alistipes putredinis DSM 17216 draft (20 frags),BacteriaFamilies,Rikenellaceae,Alistipes putredinis
Alistipes putredinis DSM 17216 draft (20 frags),BacteriaFamilies,Rikenellaceae,Alistipes putredinis
Alistipes sp. AL-1 draft (24 frags),BacteriaFamilies,Rikenellaceae,Alistipes sp. AL-1
Alistipes sp. AL-1 draft (24 frags),BacteriaFamilies,Rikenellaceae,Alistipes sp. AL-1
Prevotella sp. oral taxon 473 str. F0040 draft (90 frags),BacteriaFamilies,Prevotellaceae,Alloprevotella sp. oral taxon 473
Metascardovia criceti DSM 17774 draft (11 frags),BacteriaFamilies,Bifidobacteriaceae,Alloscardovia criceti
Human papillomavirus type 6 complete genome isolate CAC231,ViralFamilies,Papillomaviridae,Alphapapillomavirus 10
Human papillomavirus type 6 complete genome isolate LP223,ViralFamilies,Papillomaviridae,Alphapapillomavirus 10
Human papillomavirus type 6 complete genome isolate LP211,ViralFamilies,Papillomaviridae,Alphapapillomavirus 10
Human papillomavirus type 6 complete genome isolate LP173,ViralFamilies,Papillomaviridae,Alphapapillomavirus 10
Human papillomavirus type 6 complete genome isolate LP182,ViralFamilies,Papillomaviridae,Alphapapillomavirus 10
Human papillomavirus type 6 complete genome isolate 120,ViralFamilies,Papillomaviridae,Alphapapillomavirus 10
Human papillomavirus type 6 complete genome isolate 60,ViralFamilies,Papillomaviridae,Alphapapillomavirus 10
Human papillomavirus type 6 complete genome isolate 76,ViralFamilies,Papillomaviridae,Alphapapillomavirus 10
Human papillomavirus type 6 complete genome isolate 45,ViralFamilies,Papillomaviridae,Alphapapillomavirus 10
Human papillomavirus type 6 complete genome isolate 79,ViralFamilies,Papillomaviridae,Alphapapillomavirus 10
Human papillomavirus type 6 complete genome isolate 53,ViralFamilies,Papillomaviridae,Alphapapillomavirus 10
Human papillomavirus type 6 complete genome isolate 104,ViralFamilies,Papillomaviridae,Alphapapillomavirus 10
Human papillomavirus type 6 complete genome isolate 25,ViralFamilies,Papillomaviridae,Alphapapillomavirus 10
Human papillomavirus type 6 complete genome isolate 107,ViralFamilies,Papillomaviridae,Alphapapillomavirus 10
Human papillomavirus type 6 complete genome isolate 117,ViralFamilies,Papillomaviridae,Alphapapillomavirus 10
Human papillomavirus type 6 complete genome isolate 78,ViralFamilies,Papillomaviridae,Alphapapillomavirus 10
Human papillomavirus type 6 complete genome isolate 24,ViralFamilies,Papillomaviridae,Alphapapillomavirus 10
Human papillomavirus type 6 complete genome isolate 82,ViralFamilies,Papillomaviridae,Alphapapillomavirus 10
Human papillomavirus type 6 complete genome isolate 110,ViralFamilies,Papillomaviridae,Alphapapillomavirus 10
Human papillomavirus type 6 complete genome isolate 85,ViralFamilies,Papillomaviridae,Alphapapillomavirus 10
Human papillomavirus type 6 complete genome isolate 22,ViralFamilies,Papillomaviridae,Alphapapillomavirus 10
Human papillomavirus type 6 complete genome isolate 12,ViralFamilies,Papillomaviridae,Alphapapillomavirus 10
Human papillomavirus type 6 complete genome isolate 1,ViralFamilies,Papillomaviridae,Alphapapillomavirus 10
Human papillomavirus type 6 complete genome isolate 87,ViralFamilies,Papillomaviridae,Alphapapillomavirus 10
Human papillomavirus type 6 complete genome isolate 63,ViralFamilies,Papillomaviridae,Alphapapillomavirus 10
Human papillomavirus type 6 complete genome isolate 126,ViralFamilies,Papillomaviridae,Alphapapillomavirus 10
