Target Description	a483920-2391847-070525-424_A01	a174305-8347510-070525-424_A02	a592183-1029384-070525-424_A03	a381927-5647382-070525-424_A04	a849201-8374629-070525-424_A05	a720394-6583721-070525-424_A06	a483920-2391847-070525-428_A01	a174305-8347510-070525-428_A02	a592183-1029384-070525-428_A03	a381927-5647382-070525-428_A04	a849201-8374629-070525-428_A05	a720394-6583721-070525-428_A06
Escherichia coli SCI-07 draft (68 frags)				Secondary	Secondary	Secondary		Secondary		Secondary	Secondary	Secondary
Streptococcus pyogenes ABC020038545 draft (2 frags)												
Bacteroidaceae bacterium MS4 draft (35 frags)	Secondary	Secondary	Secondary	Secondary	Secondary	Secondary	Secondary	Secondary	Secondary	DETECTED	Secondary	Secondary
Bacteroides ovatus ATCC 8483 draft (54 frags)	Secondary	Secondary	Secondary	Secondary	Secondary	Secondary	Secondary	Secondary	Secondary	Secondary	Secondary	Secondary
Escherichia coli MS 107-1 draft (72 frags)				Secondary	Secondary	Secondary		Secondary		Secondary	Secondary	Secondary
Enterococcus faecium PC4.1 draft (78 frags)												
Streptococcus pneumoniae GA41301 draft (17 frags)												
Kosakonia radicincitans UMEnt01/12 draft (71 frags)				Secondary	Secondary	Secondary		Secondary		Secondary	Secondary	Secondary
Enterococcus avium ATCC 14025 draft (13 frags)												
Coprobacter fastidiosus NSB1 draft (95 frags)												
Human papillomavirus type 6 complete genome isolate 104												
Streptococcus thermophilus plasmid pSMQ172 												
"Saccharomyces cerevisiae T73, combined chrs"												
Streptococcus mutans 11A1 draft (111 frags)												
Faecalibacterium prausnitzii A2-165 draft (115 frags)	Secondary	Secondary	Secondary	Secondary	Secondary	Secondary	Secondary	Secondary	Secondary	Secondary	Secondary	Secondary
Escherichia coli KTE33 draft (220 frags)				Secondary	Secondary	Secondary	Secondary	Secondary		Secondary	Secondary	Secondary
Escherichia coli UM146 chromosome				Secondary	Secondary	Secondary		Secondary		Secondary	Secondary	Secondary
Streptococcus pneumoniae CCRI 1974M2 draft (130 frags)												
Lactobacillus jensenii JV-V16 draft (2 frags)												
Enterococcus faecium UAA947 draft (75 frags)												
Enterococcus faecalis Com 2 draft (18 frags)												
Bacteroides eggerthii 1_2_48FAA draft (85 frags)	Secondary	Secondary	Secondary	Secondary	Secondary	Secondary	Secondary	Secondary	Secondary	Secondary	Secondary	Secondary
Pasteurella multocida 93002 draft (317 frags)										Secondary		
Lactococcus phage jm3					Secondary	Secondary					Secondary	Secondary
Pseudomonas aeruginosa BWH030 draft (66 frags)												
Escherichia coli KTE102 draft (64 frags)				Secondary	Secondary	Secondary		Secondary		Secondary	Secondary	Secondary
Escherichia coli O7:K1 str. CE10 chromosome				Secondary	Secondary	Secondary		Secondary		Secondary	Secondary	Secondary
Pseudomonas stutzeri strain 28a24												
Pasteurella multocida subsp. multocida str. 3480 chromosome										Secondary		
